"streetlight_model","streetlight_type","streetlight_wattage","longitude","latitude"
"COBRA","IND","85.0","-117.24737023","32.71933853"
"COBRA","IND","85.0","-117.23928052","32.71157118"
"COBRA","IND","85.0","-117.23978239","32.70972605"
"COBRA","IND","85.0","-117.2411381","32.70898453"
"COBRA","IND","85.0","-117.24143581","32.70807912"
"COBRA","IND","85.0","-117.24064416","32.7108684"
"COBRA","IND","85.0","-117.23955198","32.71066257"
"COBRA","IND","85.0","-117.24016373","32.71277009"
"COBRA","IND","85.0","-117.24089634","32.70995354"
"COBRA","IND","85.0","-117.24026068","32.70808753"
"COBRA","IND","85.0","-117.24233933","32.70836262"
"COBRA","IND","85.0","-117.24244263","32.70856828"
"COBRA","IND","85.0","-117.24095234","32.71387795"
"COBRA","IND","85.0","-117.23882563","32.71260252"
"COBRA","IND","85.0","-117.2386809","32.71354528"
"COBRA","IND","85.0","-117.23747997","32.70928066"
"COBRA","IND","85.0","-117.23674415","32.71211478"
"COBRA","IND","85.0","-117.23625087","32.71393987"
"COBRA","IND","85.0","-117.23393222","32.71867812"
"COBRA","IND","85.0","-117.23117378","32.72030922"
"COBRA","IND","85.0","-117.23184842","32.71978803"
"COBRA","IND","85.0","-117.23170454","32.71970277"
"COBRA","IND","85.0","-117.23200681","32.71966456"
"COBRA","IND","85.0","-117.23182156","32.71954224"
"COBRA","IND","85.0","-117.22902465","32.71988151"
"COBRA","LPS","150.0","-117.23961514","32.7187821"
"COBRA","IND","55.0","-117.23765654","32.7104034"
"COBRA","IND","85.0","-117.23717252","32.71030852"
"COBRA","IND","85.0","-117.23125591","32.71926335"
"COBRA","IND","85.0","-117.1402729","32.70002815"
"COBRA","IND","85.0","-117.24087252","32.71826833"
"COBRA","IND","85.0","-117.23308508","32.7201405"
"COBRA","IND","85.0","-117.23557703","32.71837417"
"COBRA","IND","85.0","-117.23869265","32.70949821"
"COBRA","IND","85.0","-117.23700374","32.71425912"
"COBRA","IND","85.0","-117.23770847","32.70844402"
"COBRA","IND","165.0","-117.23821991","32.71140659"
"COBRA","IND","165.0","-117.23636504","32.71588917"
"COBRA","IND","85.0","-117.23269453","32.72030445"
"COBRA","IND","85.0","-117.2345601","32.71910046"
"COBRA","IND","165.0","-117.23597413","32.71777089"
"COBRA","IND","165.0","-117.23803459","32.71222234"
"COBRA","IND","85.0","-117.23894861","32.70853391"
"COBRA","IND","85.0","-117.23770997","32.71323725"
"COBRA","IND","85.0","-117.14680018","32.70195963"
"COBRA","IND","85.0","-117.14733783","32.70233192"
"COBRA","IND","85.0","-117.14591216","32.70252108"
"COBRA","IND","85.0","-117.14497903","32.70206498"
