station_id,avg_daily_traffic,yearly_traffic,distance lights to station in feet,lights_lat,lights_long,no. of lights
Station_id 119030,31931,11655051,8096.022282,32.70119954,-117.1460115,20686
Station_id 119030,31931,11655051,9175.682694,32.70212279,-117.1493366,20686
Station_id 119030,31931,11655051,8802.858532,32.70146835,-117.1483437,20686
Station_id 119030,31931,11655051,9301.005436,32.70135294,-117.1501107,20686
Station_id 119030,31931,11655051,8366.113003,32.69754364,-117.148237,20686
Station_id 119030,31931,11655051,8159.077334,32.6980762,-117.1474097,20686
Station_id 119030,31931,11655051,8488.570432,32.69700177,-117.1487651,20686
Station_id 119030,31931,11655051,6481.650095,32.69474459,-117.1425936,20686
Station_id 119030,31931,11655051,6437.91828,32.69468663,-117.1424585,20686
Station_id 119030,31931,11655051,6427.197479,32.69496779,-117.1423865,20686
Station_id 119030,31931,11655051,6811.067255,32.69360872,-117.143759,20686
Station_id 119030,31931,11655051,6378.708103,32.694868,-117.1422424,20686
Station_id 119030,31931,11655051,6211.435573,32.7007554,-117.1395436,20686
Station_id 119030,31931,11655051,6802.801956,32.70200874,-117.140915,20686
Station_id 119030,31931,11655051,6936.422229,32.70129986,-117.1418475,20686
Station_id 119030,31931,11655051,9419.168869,32.700719,-117.1507662,20686
Station_id 119030,31931,11655051,9366.142186,32.70034367,-117.1507251,20686
Station_id 119030,31931,11655051,8833.862054,32.69936106,-117.1492705,20686
Station_id 119030,31931,11655051,6744.338323,32.69892256,-117.1423543,20686
Station_id 119030,31931,11655051,7411.098743,32.69780505,-117.1449971,20686
Station_id 119030,31931,11655051,6860.294615,32.69674372,-117.1434584,20686
Station_id 119030,31931,11655051,6283.780453,32.69557143,-117.1418187,20686
Station_id 119030,31931,11655051,5718.570591,32.6944489,-117.1401483,20686
Station_id 119030,31931,11655051,5511.959668,32.69520817,-117.139359,20686
Station_id 119030,31931,11655051,6469.238166,32.6984472,-117.1416054,20686
Station_id 119030,31931,11655051,7228.49204,32.69876069,-117.1440661,20686
Station_id 119030,31931,11655051,5884.304785,32.69352958,-117.1407626,20686
Station_id 119030,31931,11655051,5854.708032,32.6934488,-117.1406705,20686
Station_id 119030,31931,11655051,5582.043169,32.69284876,-117.1398007,20686
Station_id 119030,31931,11655051,7043.519233,32.69727152,-117.1439267,20686
Station_id 119030,31931,11655051,7248.547119,32.69766896,-117.1444953,20686
Station_id 119030,31931,11655051,6422.289032,32.69871288,-117.1413373,20686
Station_id 119030,31931,11655051,6650.160852,32.69744002,-117.1425669,20686
Station_id 119030,31931,11655051,6610.38675,32.69435945,-117.1430548,20686
Station_id 119030,31931,11655051,6695.854479,32.69398296,-117.1433638,20686
Station_id 119030,31931,11655051,6316.256905,32.69898816,-117.1408532,20686
Station_id 119030,31931,11655051,6223.40055,32.69897124,-117.1405394,20686
Station_id 119030,31931,11655051,5729.492761,32.69791362,-117.139293,20686
Station_id 119030,31931,11655051,5770.374639,32.69814482,-117.1393381,20686
Station_id 119030,31931,11655051,5848.877183,32.69813579,-117.139611,20686
Station_id 119030,31931,11655051,5877.038001,32.6983391,-117.1396223,20686
Station_id 119030,31931,11655051,5961.99594,32.69834239,-117.1399129,20686
Station_id 119030,31931,11655051,5987.160085,32.69854009,-117.1399148,20686
Station_id 119030,31931,11655051,6074.372356,32.69854908,-117.1402113,20686
Station_id 119030,31931,11655051,6202.943331,32.69878846,-117.1405503,20686
Station_id 119030,31931,11655051,7363.30786,32.70112883,-117.14347,20686
Station_id 119030,31931,11655051,7290.50424,32.70105527,-117.1432509,20686
Station_id 119030,31931,11655051,7343.960666,32.70115223,-117.1433889,20686
Station_id 119030,31931,11655051,7398.660052,32.70128546,-117.1435116,20686
Station_id 119030,31931,11655051,6396.987186,32.69929092,-117.1409949,20686
Station_id 119030,31931,11655051,6336.38314,32.69918002,-117.1408357,20686
Station_id 119030,31931,11655051,6780.719137,32.69997959,-117.1420044,20686
Station_id 119030,31931,11655051,6676.765524,32.69860991,-117.1422488,20686
Station_id 119030,31931,11655051,7213.71026,32.69855919,-117.1440891,20686
Station_id 119030,31931,11655051,7023.517869,32.69820755,-117.1435703,20686
Station_id 119030,31931,11655051,16581.36818,32.710306,-117.1712639,20686
Station_id 119030,31931,11655051,16409.64174,32.70995322,-117.1708352,20686
Station_id 119030,31931,11655051,16457.63444,32.7102812,-117.1708423,20686
Station_id 119030,31931,11655051,7599.115312,32.70232712,-117.143636,20686
Station_id 119030,31931,11655051,7598.887672,32.70213103,-117.1437521,20686
Station_id 119030,31931,11655051,7583.763936,32.70247335,-117.1434908,20686
Station_id 119030,31931,11655051,7502.106679,32.70213412,-117.1434,20686
Station_id 119030,31931,11655051,6820.012741,32.69692462,-117.1432788,20686
Station_id 119030,31931,11655051,7483.076247,32.70227163,-117.1432477,20686
Station_id 119030,31931,11655051,8231.661972,32.69816894,-117.1476248,20686
